,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,126.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",122.0,no,no,no,yes,female,yes,18.0,no,0.0,6.0,6.0,6.0,14.5,0.0,0.0,6.0,7.0,6.0,12.428571428571429,0.0,11.1,0.6,2.02,Graduate
1,single,2nd phase - general contingent,1.0,Social Service,daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119.0,yes,no,no,yes,female,no,18.0,no,0.0,6.0,8.0,4.0,11.6,0.0,0.0,6.0,9.0,0.0,0.0,0.0,11.1,0.6,2.02,Dropout
2,single,2nd phase - general contingent,2.0,Tourism,daytime,Secondary education,137.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,144.0,no,no,no,yes,male,no,18.0,no,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,Dropout
3,single,1st phase - general contingent,3.0,Nursing,daytime,Secondary education,131.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,126.0,yes,no,no,yes,female,yes,18.0,no,0.0,7.0,9.0,7.0,12.59125,0.0,0.0,8.0,11.0,7.0,12.820000000000002,0.0,11.1,0.6,2.02,Enrolled
4,single,1st phase - general contingent,2.0,Nursing,daytime,Secondary education,132.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,120.0,yes,no,no,yes,female,no,18.0,no,0.0,7.0,12.0,6.0,12.933333333333332,0.0,0.0,7.0,12.0,6.0,9.626998241540127,0.0,7.6,2.6,0.32,Graduate
5,single,Over 23 years old,1.0,Animation and Multimedia Design,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",100.0,no,no,no,yes,male,no,24.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.007985601919744,0.0,0.0,13.9,-0.3,0.79,Dropout
6,single,Technological specialization diploma holders,1.0,Veterinary Nursing,daytime,Technological specialization course,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",130.0,yes,no,no,yes,female,no,21.0,no,0.0,5.0,7.0,4.0,12.75,0.0,0.0,5.0,8.0,5.0,13.25,0.0,12.4,0.5,-0.08006514178705189,Graduate
7,single,1st phase - general contingent,1.0,Journalism and Communication,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",133.0,yes,no,no,yes,male,no,18.0,no,0.0,6.0,6.0,5.0,13.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,10.8,1.4,1.74,Graduate
8,single,Over 23 years old,1.0,Agronomy,daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,130.0,yes,no,yes,no,male,no,24.0,no,0.0,6.0,8.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,16.2,0.3,-0.92,Dropout
9,single,1st phase - general contingent,6.0,Nursing,daytime,Secondary education,135.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,128.0,yes,no,no,yes,female,yes,18.0,no,0.0,7.0,7.0,6.0,12.966666666666669,0.0,0.0,7.0,7.0,6.0,12.966666666666669,0.0,7.6,2.6,0.32,Graduate
10,single,2nd phase - general contingent,1.0,Social Service,daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,114.0,no,no,no,yes,male,no,24.0,no,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.06184842133729971,11.1,0.6,2.02,Dropout
11,single,1st phase - general contingent,1.0,Journalism and Communication,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,142.0,yes,no,no,yes,male,no,18.0,no,0.0,6.0,12.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,7.6,2.6,0.32,Dropout
12,single,1st phase - general contingent,1.0,Basic Education,daytime,Secondary education,154.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,133.0,yes,no,no,yes,female,no,19.0,no,0.0,6.0,8.0,5.0,13.0,0.0,0.0,6.0,7.0,4.0,10.75,0.0,9.4,-0.8,-3.12,Enrolled
13,married,Over 23 years old,1.0,Management,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Armed Forces Professions,140.0,no,no,no,yes,female,no,29.0,no,0.0,5.0,9.0,3.0,11.666666666666666,0.0,0.0,5.0,9.0,3.0,10.333333333333334,0.0,9.4,-0.8,-3.12,Dropout
14,single,Over 23 years old,1.0,Agronomy,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",130.0,no,no,yes,yes,male,no,27.0,no,0.0,6.0,15.0,2.0,13.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,11.1,0.6,2.02,Dropout
15,single,1st phase - general contingent,2.0,Advertising and Marketing Management,daytime,Secondary education,133.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,121.0,no,no,no,yes,female,yes,20.0,no,0.0,6.0,8.0,6.0,14.5,0.0,0.0,6.0,7.0,6.0,14.571428571428571,0.0,11.51991535071858,1.4,1.74,Graduate
16,single,1st phase - general contingent,1.0,Animation and Multimedia Design,daytime,Secondary education,151.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",147.0,yes,no,no,yes,female,no,34.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Dropout
17,single,2nd phase - general contingent,1.0,Social Service,daytime,Secondary education,122.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",119.0,yes,no,no,yes,female,no,18.0,no,0.0,6.0,10.0,4.0,11.25,0.0,0.0,6.0,11.0,3.0,11.0,0.0,16.2,0.3,-0.92,Dropout
18,single,Over 23 years old,1.0,Nursing,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,133.0,no,no,no,yes,female,no,24.0,no,0.0,7.0,9.0,6.0,12.585714285714284,0.0,0.0,8.0,12.0,7.0,13.44285714285714,0.0,16.2,0.3,-0.92,Graduate
19,single,1st phase - general contingent,3.0,Nursing,daytime,Secondary education,138.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,133.0,yes,no,no,yes,female,yes,22.279178162920896,no,0.0,8.0,12.0,7.0,12.0,0.0,0.0,8.0,12.0,4.007985601919744,12.0,0.0,12.7,3.7,-1.7,Graduate
20,single,Over 23 years old,1.0,Basic Education,daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,132.0,no,no,no,yes,female,no,26.0,no,0.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,12.7,3.7,-1.7,Dropout
21,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,145.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,135.0,yes,no,no,yes,female,yes,22.279178162920896,no,0.0,6.0,7.0,6.0,13.333333333333334,0.0,0.1369956782004134,6.0,12.0,6.0,12.5,0.0,13.9,-0.3,0.79,Graduate
22,single,2nd phase - general contingent,1.0,Journalism and Communication,daytime,Secondary education,145.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Installation and Machine Operators and Assembly Workers,134.0,yes,no,no,yes,female,no,19.0,no,0.0,6.0,6.0,6.0,16.0,0.0,0.0,6.0,7.0,6.0,14.333333333333334,0.0,12.4,0.5,1.79,Graduate
23,single,1st phase - general contingent,2.0,Nursing,daytime,Secondary education,137.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",126.0,yes,no,no,yes,female,yes,18.0,no,0.0,7.0,10.0,7.0,14.91875,0.0,0.0,8.0,8.0,8.0,15.355,0.0,11.51991535071858,2.8,-4.06,Graduate
24,single,1st phase - general contingent,3.0,Social Service,daytime,Secondary education,139.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",131.0,yes,no,no,yes,female,no,18.0,no,0.0,6.0,8.0,6.0,11.77777777777778,0.0,0.0,6.0,8.0,5.0,12.25,0.0,15.5,2.8,-4.06,Graduate
25,single,Holders of other higher courses,1.0,Nursing,evening,Higher education - degree (1st cycle),110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,110.0,no,no,no,yes,female,no,28.0,no,14.0,15.0,16.0,15.0,10.923076923076923,0.0,9.0,13.0,13.0,13.0,11.615384615384617,0.0,11.1,1.2298957284038008,2.02,Graduate
